Aggregated Profit,Quantity Sold.SUM
11543.790294227598,2571
72384.59712295531,12570
33510.558079528804,7192
910872.0948358156,9657
11544.12,9354
97953.06276260377,3621
59840.11718151091,10555
30056.310335254668,5859
9895.017861099243,5607
37874.93897975922,17830
33887.216824760435,7567
73208.43135967256,11881
23856.059820957187,9387
60164.7592806244,9429
1194.120131149292,573
7121.9403616333,2370
33370.20340644837,4059
39943.352061309815,13509
86934.80497833254,13164
8905.44091094971,2388
46060.04904670715,2499
79485.88421989442,10823
102003.162137146,10306
2222.849791145325,1095
139514.57742019655,13894
85818.72355224607,15520
16987.830387783048,6777
26171.96830776215,4929
159353.2688626098,14598
13837.95,6342
147765.50184768677,4857
20079.959595165255,4245
225923.44463081364,14075
19917.668962707517,4532
56926.032212867736,8287
15053.629090995788,7943
127384.58436401372,9234
64115.428653831485,11763
6302.789285030363,12495
14381.820644302365,3378
36346.26036781311,4821
25922.128764038083,4050
109522.79438735962,12261
55820.30851684572,9720
64861.1110848999,2844
79455.41607086181,5150
22248.298253974917,8322
104955.95507949828,10749
102516.17684143067,10350
57730.50436843872,9543
35134.797121009826,6861
19405.260624847415,8190
124184.22810470582,10623
13530.642652130131,4966
53353.857567749015,3985
110257.52131530762,14229
86597.51966812137,8700
400363.67310333246,10815
17661.659857835777,14907
25668.62934196472,6900
60185.795656280505,6326
103675.64799842835,5247
55108.885843276985,9906
83890.97392524719,8847
61015.376832275404,10380
19268.640000000007,2688
49355.72854831695,12685
109126.2087979889,12813
95508.59261718752,12096
10978.019410171508,2577
46248.4129001236,15205
14568.62906687737,8895
88984.41440689086,9627
6314.611366062164,6511
7946.639678649901,936
17771.48985145569,7788
