User,Credit Policty,Loan Purpose,Interest Rate,Installment,DTI,Days with Credit Line,Revolving Bal,Revol_Util,Inq Last 6mos,Delinq 2yrs,Public Record,Not Fully Paid
0,1,Home Improvement,0.1166,330.53,10.74,5519,46789,66.7,3,0,0,1
0,1,Debt Consolidation,0.1292,213.72,20.15,8520.041667,22247,93.1,1,0,0,0
0,1,Small Business,0.1292,504.84,6.08,3240,5071,78,1,1,0,1
3,1,Debt Consolidation,0.1355,645.24,1.67,5370.041667,9416,95.1,2,0,0,0
4,0,Debt Consolidation,0.1671,710.18,20.83,3269,11881,50.8,4,0,0,1
5,0,Debt Consolidation,0.1861,437.51,28.21,8760,88391,89.9,1,0,0,0
6,0,Home Improvement,0.164,883.88,3.12,4590.041667,7005,38.9,9,0,1,1
7,0,Debt Consolidation,0.1355,271.68,4.22,4559.041667,1053,40.5,7,3,0,0
8,0,All Other,0.1261,201.04,2.22,450,689,68.9,0,0,0,1
9,0,Debt Consolidation,0.1797,225.86,28.29,4188,28432,57.1,3,1,0,1
10,0,Home Improvement,0.1513,138.05,24.08,3990,5729,100.5,0,0,0,0
11,0,All Other,0.1355,203.76,9.28,7110,33351,99,4,2,0,0
12,0,Major Purchase,0.1324,148.77,18.04,3900,1085,57.5,6,0,1,1
13,0,Debt Consolidation,0.1387,341.15,19.73,11940,61882,60.6,0,0,0,0
14,0,All Other,0.1355,407.52,3.9,3270,6560,37.9,10,0,0,1
15,0,Debt Consolidation,0.1387,163.75,22.72,2010,0,71.7,6,0,0,0
16,0,Home Improvement,0.1324,108.2,19.96,3210,14188,71.3,5,0,0,0
17,0,All Other,0.145,68.85,24.16,5370,10498,100,1,0,0,1
18,0,Debt Consolidation,0.1324,84.53,3.94,720,3402,64.2,1,0,0,1
19,0,Major Purchase,0.1229,33.36,1.62,539.9583333,984,98.4,1,0,0,0
20,0,All Other,0.1703,124.84,25.51,5189.958333,7461,90.5,8,0,0,1
21,0,All Other,0.1229,40.03,7.64,1020,2391,99.6,0,0,0,0
22,0,Debt Consolidation,0.164,197.99,26.46,2309.958333,14343,42.1,2,0,0,0
23,0,Home Improvement,0.1355,254.7,15.1,3900,17599,41.7,11,0,0,0
24,0,All Other,0.1355,81.51,22.94,479.9583333,558,22.3,4,0,0,0
25,1,All Other,0.157,175.06,10.36,1830,2176,53.1,1,0,0,0
26,1,All Other,0.1496,221.74,15.45,2614,9317,61.7,2,0,0,0
27,1,All Other,0.1719,185.89,22.29,1554,1815,43.2,1,0,0,0
28,1,Debt Consolidation,0.1459,112.02,24.6,5554,11683,60.2,1,0,0,0
29,1,Debt Consolidation,0.1821,181.3,11.39,5400,0,25.8,3,2,0,1
30,0,Debt Consolidation,0.138,149.96,16.7,4339,314,12.6,4,1,0,0
31,0,All Other,0.1312,180.57,15,178.9583333,0,47.8,1,0,0,0
32,0,Debt Consolidation,0.1249,150.52,9.56,780,4494,76.2,1,0,0,0
33,0,Debt Consolidation,0.1249,140.48,7.68,1019,6670,72.5,1,0,0,0
34,0,All Other,0.1628,670.59,9.79,449,1603,64.1,1,0,0,1
35,0,Debt Consolidation,0.1786,158.77,25.77,7979.958333,68438,96.2,0,1,1,0
36,0,All Other,0.1659,510.47,24.45,1260,15783,74.5,4,0,0,0
37,0,Debt Consolidation,0.1217,199.78,2.2,658.9583333,2468,79.6,1,0,0,0
38,0,Debt Consolidation,0.128,335.98,5.04,1049.958333,11766,72.6,0,0,0,1
39,0,Small Business,0.128,167.99,19.02,959,0,0,1,0,0,0
