,Transaction_Id,Legal_Entity,Country,Correspondent_Name,Correspondent_Account,Counterparty,Settlement_Currency,Transaction_Date,Settlement_Date,Settlement_Time,Status,Direction,Settlement_Amount,Net_Settlement_Amount,Opening_Balance,Available,Expected,Processing,Anticipated,Collateral,Outlook_Amount,Forecast_Amount
0,TXN2021101501639383A1,AU_BRANCH,UNITED STATES,"J.P Morgan Chase Bank, New York",987777175,Sumitomo Mitsui Financial Group,USD,2021-10-15,2021-10-15,00:00:00,Open party,IN,1880976.460000001,1880976.460000001,1880976.460000001,1880976.460000001,,,,,1880976.460000001,1880976.460000001
1,TXN2021101501639384A1,US_BRANCH,HONG KONG,"China Construction Bank (Asia) Corporation Limited, Hong Kong",4444 3007 5500,Société Générale,HKD,2021-10-15,2021-10-15,00:00:00,Open party,IN,15698977.000000017,15698977.000000017,15698977.000000017,15698977.000000017,,,,,15698977.000000017,15698977.000000017
2,TXN2021101501639385A1,JP_BRANCH,JAPAN,Account 12,RAND-0030,Sumitomo Mitsui Financial Group,JPY,2021-10-15,2021-10-15,00:00:00,Open party,IN,334400999.77999973,334400999.77999973,334400999.77999973,334400999.77999973,,,,,334400999.77999973,334400999.77999973
3,TXN2021101501639386A1,JP_BRANCH,JAPAN,TSB,ATOTI-0026,Macquarie Bank,JPY,2021-10-15,2021-10-15,00:00:00,Open party,IN,233613661.3300001,233613661.3300001,233613661.3300001,233613661.3300001,,,,,233613661.3300001,233613661.3300001
4,TXN2021101501639387A1,HK_BRANCH,HONG KONG,Account 2,RAND-0020,Wells Fargo,HKD,2021-10-15,2021-10-15,00:00:00,Open party,IN,13622940.729999987,13622940.729999987,13622940.729999987,13622940.729999987,,,,,13622940.729999987,13622940.729999987
5,TXN2021101501639388A1,HK_BRANCH,AUSTRALIA,"Australia and New Zealand Banking Group Limited, Australia",837555AUD00001,Argenta,AUD,2021-10-15,2021-10-15,00:00:00,Open party,IN,2860788.5300000003,2860788.5300000003,2860788.5300000003,2860788.5300000003,,,,,2860788.5300000003,2860788.5300000003
6,TXN2021101501639389A1,CH_BRANCH,BELGIUM,ING Bank NV/SA,BE363011110005781,HSBC Hong Kong,EUR,2021-10-15,2021-10-15,00:00:00,Open posn,IN,1887916.509999998,1887916.509999998,1887916.509999998,1887916.509999998,,,,,1887916.509999998,1887916.509999998
7,TXN2021101501639390A1,AU_BRANCH,AUSTRALIA,CMB Wing Lung Bank Ltd,ATOTI-0005,Société Générale,AUD,2021-10-15,2021-10-15,00:00:00,Open posn,IN,3192985.1800000025,3192985.1800000025,3192985.1800000025,3192985.1800000025,,,,,3192985.1800000025,3192985.1800000025
8,TXN2021101501639391A1,AU_BRANCH,AUSTRALIA,Account 5,RAND-0005,Julius Baer Group,AUD,2021-10-15,2021-10-15,00:00:00,Open posn,IN,2789829.0299999984,2789829.0299999984,2789829.0299999984,2789829.0299999984,,,,,2789829.0299999984,2789829.0299999984
9,TXN2021101501639392A1,JP_BRANCH,JAPAN,Account 11,RAND-0029,Standard Chartered,JPY,2021-10-15,2021-10-15,00:00:00,Open party,IN,284780160.70999986,284780160.70999986,284780160.70999986,284780160.70999986,,,,,284780160.70999986,284780160.70999986
10,TXN2021101501639393A1,EU_BRANCH,JAPAN,Mizuho Bank Limited,2222010,Wells Fargo,JPY,2021-10-15,2021-10-15,00:00:00,Open posn,IN,262009820.50000003,262009820.50000003,262009820.50000003,262009820.50000003,,,,,262009820.50000003,262009820.50000003
11,TXN2021101501639394A1,US_BRANCH,UNITED STATES,Account 4,RAND-0040,Sumitomo Mitsui Financial Group,USD,2021-10-15,2021-10-15,00:00:00,Open party,IN,1817580.079999999,1817580.079999999,1817580.079999999,1817580.079999999,,,,,1817580.079999999,1817580.079999999
12,TXN2021101501639395A1,JP_BRANCH,GERMANY,"Deutsche Bank AG, Frankfurt am Main",100 8885417 1000,Standard Chartered,EUR,2021-10-15,2021-10-15,00:00:00,Open party,IN,1750261.2300000002,1750261.2300000002,1750261.2300000002,1750261.2300000002,,,,,1750261.2300000002,1750261.2300000002
13,TXN2021101501639396A1,JP_BRANCH,JAPAN,Mitsui,ATOTI-0027,Argenta,JPY,2021-10-15,2021-10-15,00:00:00,Open posn,IN,248681955.55999997,248681955.55999997,248681955.55999997,248681955.55999997,,,,,248681955.55999997,248681955.55999997
14,TXN2021101501639397A1,JP_BRANCH,JAPAN,Deutsche Bank,ATOTI-0029,Sumitomo Mitsui Financial Group,JPY,2021-10-15,2021-10-15,00:00:00,Open party,IN,289505571.7099998,289505571.7099998,289505571.7099998,289505571.7099998,,,,,289505571.7099998,289505571.7099998
15,TXN2021101501639398A1,UK_PLC,UNITED KINGDOM,Account 13,RAND-0031,Sumitomo Mitsui Financial Group,GBP,2021-10-15,2021-10-15,00:00:00,Open posn,IN,2024502.410000001,2024502.410000001,2024502.410000001,2024502.410000001,,,,,2024502.410000001,2024502.410000001
16,TXN2021101501639399A1,CH_BRANCH,AUSTRALIA,Account 12,RAND-0012,Société Générale,CHF,2021-10-15,2021-10-15,00:00:00,Open party,IN,1663572.8000000005,1663572.8000000005,1663572.8000000005,1663572.8000000005,,,,,1663572.8000000005,1663572.8000000005
17,TXN2021101501639400A1,UK_PLC,UNITED KINGDOM,Account 14,RAND-0032,Wells Fargo,GBP,2021-10-15,2021-10-15,00:00:00,Open party,IN,1751964.8900000027,1751964.8900000027,1751964.8900000027,1751964.8900000027,,,,,1751964.8900000027,1751964.8900000027
18,TXN2021101501639401A1,AU_BRANCH,JAPAN,Mizuho Bank Limited,2222010,Commerzbank,JPY,2021-10-15,2021-10-15,00:00:00,Open posn,IN,299122318.17000014,299122318.17000014,299122318.17000014,299122318.17000014,,,,,299122318.17000014,299122318.17000014
